smiles,Fu_final,lgFu,Fu_train_test
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,0.948,-0.023191663,train
CN(CCCNCc1cc(I)cc(c1O)C1CCCCC1)C,0.948,-0.023191663,train
OCc1cc2nnc(n2c2c1ccc(c2)c1ccc[nH]1)O,0.948,-0.023191663,train
CC(CN1C=NC2C(N)=NC=NC1=2)OCP(O)(O)=O,0.940500002,-0.026641199,train
CCN(CC)CCOC(=O)c1ccc(N)cc1,0.94,-0.026872146,train
NC(=N)C1C=CC(=CC=1)C(=O)NC(CC1C=CC(O)=CC=1)C(=O)N1CCC(CC1)OCC(O)=O,0.94,-0.026872146,train
O=c1[nH]ccc2c1ccc(c2)O[C@H]1CCCNC1,0.94,-0.026872146,train
C1COCCO1,0.93976,-0.026983044,train
CN(C)NC(=O)CCC(O)=O,0.939,-0.027334408,train
CN(CCCNCc1cc(I)cc(c1O)C(C)(C)C)C,0.939,-0.027334408,train
NC1=NC(Cl)=NC2=C1N=CN2C1CC(O)C(CO)O1,0.938627773,-0.0275066,train
CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.937,-0.028260409,test
N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccc(cc1)[123I],0.937,-0.028260409,train
NC1=NC(NC2CC2)=NC(N)=N1,0.935872334,-0.028783391,train
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0.931666667,-0.030739442,train
CC(=O)NC1C=CC=CC=1,0.930000005,-0.031517049,train
CC[N+](C)(C)CC1C=CC=CC=1Br,0.930000005,-0.031517049,train
CC[N+]1(C)C2CC(CC1C1OC12)OC(=O)C(CO)C1C=CC=CC=1,0.930000005,-0.031517049,train
CN1C(=O)CC(c2ccccc2)C1=O,0.930000005,-0.031517049,train
CN1C=CN(C1=S)C(=O)OCC,0.930000005,-0.031517049,test
CC(CN1C=NC2C(N)=NC=NC1=2)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,0.930000005,-0.031517049,train
COc1nc(C)nc(Cl)c1NC1=NCCN1,0.93,-0.031517051,train
CC(=O)CCC(C)=O,0.93,-0.031517051,train
