smiles,pKa_Acidic,pKaAcidic_train_test
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O.C[C@H](O)C(=O)O,-1.26,train
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCNCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,-1.26,train
CCCCC(CC)COS(=O)(=O)O,-1.23,test
CCCCC(CC)COS(=O)(=O)[O-],-1.23,test
CC(C)(C)c1ccc2c(S(=O)(=O)O)c(C(C)(C)C)ccc2c1,-1.21,train
CC(C)(C)c1ccc2c(S(=O)(=O)[O-])c(C(C)(C)C)ccc2c1,-1.21,train
O=S(=O)(O)CCS,-1.16,test
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NS(=O)(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-1.16,train
O=P(O)(O)C(NC1CCCCCC1)P(=O)(O)O,-1.13,train
CN(CC(=O)O)C(=N)NP(=O)(O)O,-1.1,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,-1.09,test
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCS(=O)(=O)O)cc1,-1.08,test
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,-1.05,train
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2=Cc1ccc(C=C2C(=O)C3(CS(=O)(=O)O)CCC2C3(C)C)cc1,-1.05,train
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],-1.05,train
CC(=O)N[C@@H]1[C@@H](COC[C@@H]2O[C@H](C(=O)O)[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](CS(=O)(=O)O)[C@@H](CO)O[C@H]1CO,-1.01,train
NCCCS(=O)(=O)O,-0.99,train
N[C@@H](CCC(=O)NCCS(=O)(=O)O)C(=O)O,-0.98,train
CC1(C)C(/C=C\C=C\C=C\C=C2/N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,-0.94,train
O=S(=O)(O)CC(S)CS,-0.92,train
O=P1(N(CCCl)CCCl)NC(SCCS(=O)(=O)O)CCO1,-0.9,test
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-],-0.88,test
CC(=O)NCCCS(=O)(=O)O,-0.88,train
O=S(=O)(O)NC1CCCCC1,-0.83,train
CN(C)CCC(N)(P(=O)(O)O)P(=O)(O)O,-0.83,train
N[C@H](CS)CCS(=O)(=O)O,-0.81,train
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.8,train
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,-0.75,train
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-0.75,train
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],-0.75,train
CC(C)[C@H](N)C(=O)NCCCS(=O)(=O)O,-0.66,train
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)O)[C@@]2(C)C=CC(=O)C=C12,-0.64,train
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.63,train
CN1CC(=O)N/C1=N\P(=O)(O)O,-0.56,train
Cc1c(N(CC(C)C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,-0.46,train
CCCCNC(C)(C)[PH](=O)O,-0.12,train
O=C([O-])P(=O)([O-])[O-],-0.1,train
O=C(O)P(=O)(O)O,-0.1,train
Nc1nc(=O)c2ncn([C@H]3C=C[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C3)c2[nH]1,-0.06,train
O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,0.06,train
CC(O)(C(=O)O)P(=O)(O)C(C)(O)C(=O)O,0.12,train
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0.27,train
N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0.27,train
N[C@@H](Cc1cc([131I])c(Oc2cc([131I])c(O)c([131I])c2)c([131I])c1)C(=O)O,0.27,train
N[C@@H](Cc1cc([125I])c(Oc2cc([125I])c(O)c([125I])c2)c([125I])c1)C(=O)O,0.27,train
